Title,Body,"Published by","Authored by","Is featured","Calls to action","Featured Image (Url)","Knowledge base download","Knowledge Source",Topics,Commodities,"Evidence types","Geographical area","Innovations categories","SDG Focus",Sectors,"Value chain stages","Resource types",Published,"Authored on","Created By","Publication Date","Domain Access","Promoted to front page","Sticky at top of lists",ID,Link,"Knowledge Source Initiative",ISO3
"Principles for Food Systems Transformation | A Framework for Action","The Global Alliance for the Future of Food highlights seven principles for the transformation of food systems: renewability, resilience, health, equity, diversity, inclusion, and interconnectedness. These principles serve two important functions in challenging the status quo and moving towards a more desired future.
This Framework is intended for individuals and organizations working on food systems transformation to show how principles can be practically applied to help inform and guide their work.","Global Alliance for the Future of Food","Global Alliance for the Future of Food",0,"Read the paper here-https://futureoffood.org/insights/principles-for-transformation/",,,Other,"Poverty reduction and livelihoods|Nutrition, health and food security",,,Global,,"SDG 1 - No Poverty|SDG 2 - Zero Hunger",Crops,,Guideline,1,"2023-06-29 05:09:43",Vi.Nguyen,2021-06-29T12:00:00+0000,,0,0,2460,https://www.kismfoodmarkets.org/node/2460,no,
"Launch of report: The Status of Women in Agrifood Systems","The Status of Women in Agrifood Systems report provides the latest data, lessons learned and recommendations for policy and decision makers about gender in agrifood systems. It eviews and analyzes women’s opportunities and constraints in economic and social processes, while taking stock and assessing progress made in closing a series of gender gaps. It provides compelling examples of policies and programmes with a review of what has worked, and specific recommendations about how to do more, and better. The brief summarizes the key messages and findings.",FAO,FAO,0,"Read the paper here-https://www.fao.org/documents/card/en/c/cc5343en",,,Other,"Poverty reduction and livelihoods",,Other,Global,,"SDG 2 - Zero Hunger",,,"Research report",1,"2023-06-23 12:03:16",Carla,2023-01-01T12:00:00+0000,,0,0,2456,https://www.kismfoodmarkets.org/node/2456,no,
"Standards and Poverty Reduction: State of Sustainability Initiatives Review","How can voluntary sustainability standards (VSSs) contribute to poverty reduction for smallholder farmers? The SSI Review: Standards and Poverty Reduction examines VSSs and provides recommendations to VSS bodies, value chain actors, and governments to reduce poverty. There are an estimated 500 million smallholder farmer families globally, many of whom make up a large portion of the world’s poor. These farmers work small plots of land, often earning and producing enough to survive but not enough to rise out of poverty. Widespread poverty alleviation cannot be achieved without uplifting smallholder farmers, and this report from IISD’s State of Sustainability Initiatives examines how sustainability standards can contribute to reducing poverty among farmers. This report presents findings on the examination of 13 widely adopted (VSSs) and reviews existing evidence—all to better understand how VSSs can improve the three dimensions of poverty reduction: access to resources; opportunities and choice; and power and voice. It also includes an assessment of the factors determining smallholder farmer access to VSS-compliant markets based on 57 interviews with actors in six countries from a joint field study by IISD and UNCTAD.","International Institute for Sustainable Development (IISD)","Elder, S.| Wilkings, A.| Larrea, C. | Elamin, N. | de Cordoba, S.F.",0,"Read the paper here-https://www.evidensia.eco/resources/1266/standards-and-poverty-reduction-state-of-sustainability-initiatives-review/",,,"Evidensia platform","Poverty reduction and livelihoods",,"Synthesis paper",Global,,"SDG 12 - Responsible Production and Consumption",,,"Research report",1,"2023-06-23 11:51:01",Carla,2021-12-05T12:00:00+0000,,0,0,2455,https://www.kismfoodmarkets.org/node/2455,no,
"Scaling modern technology or scaling exclusion? The socio-political dynamics of accessing in malt barley innovation in two highland communities in Southern Ethiopia","In this article we explore whether and how the dynamics of access shape the scaling of modern agricultural technologies. It is based on the experience of an agricultural research for development (AR4D) project called CASCAPE, which aims to validate and scale agricultural best practices for smallholder farmers in Ethiopia. The socio-political dynamics of external interventions are often taken for granted contextual factors in AR4D projects. By contrast, this article takes this context as the point of departure for its analysis. The aim of this in-depth case study is to unpack the concept of access as condition for scaling of agricultural technologies. We identify and analyse the mechanisms that determine access to the various components of a malt barley technology package which was introduced in two highland communities in southern Ethiopia (and later ‘scaled’ to a range of other communities). Our research approach is technographic, implying that we consider the technology to contain both material and social components. The findings suggest that social and clan-based exchange mechanisms (such as clan-based loyalty, reciprocity and vertical accountability) are often rendered invisible even though they are of critical importance in governing access to the material and social components of modern agricultural technologies. Ignoring this socio-political context in the malt barley interventions resulted in an unintended scaling effect in terms of widening the social and economic gap between a few better off farmers and a larger group of poor farmers. The paper thus provides evidence that the socio-political dynamics of access to technology can have an important influence on its wide spread application and may complicate efforts to scale the uptake of technology. Paying more attention to such processes would help to improve the effectiveness of AR4D efforts.",Elsevier,"de Roo, N.|Almekinders, C.|Leeuwis, C.|Tefera, T.",0,"Read the paper here-https://www.sciencedirect.com/science/article/pii/S0308521X18309843",,,Other,"Poverty reduction and livelihoods|Household income: farm income",,"Empirical study",Ethiopia,,"SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 10 - Reduce Inequalities",Crops,"Primary production: crops","Journal article",1,"2023-05-31 11:06:11",Carla,2019-08-01T12:00:00+0000,,0,0,2430,https://www.kismfoodmarkets.org/node/2430,no,ETH
"Impact tracking: A practitioner-developed approach to scaling agricultural innovation in Ethiopia","This paper argues for more creativity and flexibility in agricultural research for development (AR4D) scaling and impact evaluation in complex contexts. While acknowledging the importance of setting reasonable end-of-project targets and outcomes, we argue that the achievement of outcomes and impacts, particularly in complex contexts, requires adaptive management and acknowledgment that significant positive outcomes and impacts may occur after the project funding cycle is complete. The paper presents a practitioner-developed approach to scaling AR4D innovations called Impact Tracking (IT). We illustrate IT in practice by presenting three case studies from Ethiopia in which IT proved crucial to achieving impact. The paper concludes by drawing lessons from the case studies and discussing what implications IT may have for development practitioners.","International Water Management Institute","Child, K.|Desta, G.|Douthwaite, B.|Haileslassie, A.|van Rooyen, A.|Tamene, L.|Uhlenbrook, S.",0,"Read the paper here-https://www.iwmi.cgiar.org/publications/wle-legacy-series/wle-legacy-series-1/",,,Other,"Poverty reduction and livelihoods|Household income: farm income",,"Empirical study",Ethiopia,,"SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 10 - Reduce Inequalities",Crops,"Primary production: crops","Journal article",1,"2023-05-31 10:52:50",Carla,2021-01-30T12:00:00+0000,,0,0,2429,https://www.kismfoodmarkets.org/node/2429,no,ETH
"IFAD Rural Development Report 2019: Creating opportunities for Rural Youth","This report is based on substantive evidence and attempts to provide the kind of analysis that can inform policies, programmes and investments to promote a rural transformation that is inclusive of youth. It examines who rural youth are, where they live, and the multiple constraints they face in their journey from dependence to independence. A distinguishing feature of this report is that it examines rural development in the context of the transformation of rural areas and the wider economy. Opportunities for young women and men begin with a transformation towards a dynamic rural economy.",IFAD,IFAD,0,"Read the paper here-https://www.donorplatform.org/wp-content/uploads/2022/07/2019-IFAD-RDR_report.pdf",,,Other,"Poverty reduction and livelihoods|Income and employment opportunities: employment",,"Synthesis paper",Global,"Innovations in the enabling environment: Sustainable development policies","SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 10 - Reduce Inequalities",Crops,,"Research report",1,"2023-05-31 10:35:23",Carla,2019-01-01T12:00:00+0000,,0,0,2428,https://www.kismfoodmarkets.org/node/2428,no,
"Leveraging sustainability standards for reporting on SDG progress","The 2030 Agenda for Sustainable Development outlines an ambitious vision for people and the planet. It sets out 17 goals and 169 targets for the global community to work together to achieve by 2030—ranging from eradicating poverty to conserving natural resources.
This report explores the role that voluntary sustainability standards (VSSs) can play in helping governments advance the Sustainable Development Goals (SDGs) and better track and report on their progress toward achieving them.
The authors distill a series of practical guidelines to help governments work together with VSSs to advance the SDGs and fill the data gaps that many face when tracking their progress.",IIED,"Elena Kosolapova, Rupal Verma, Laura Turley, and Ann Wilkings",0,"Read the report here-https://www.iisd.org/ssi/publications/standards-and-the-sustainable-development-goals/",,,Other,"Poverty reduction and livelihoods",,,Global,"Innovations in the enabling environment","SDG 2 - Zero Hunger|SDG 6 - Clean Water and Sanitation for All|SDG 8 - Decent Work and Economic Growth",,,"Research report",1,"2023-05-24 04:57:24",Vi.Nguyen,2023-05-04T12:00:00+0000,,0,0,2419,https://www.kismfoodmarkets.org/node/2419,no,
"Moving the Middle: Oxfam’s Behind the Brands assessment of the global agribusiness sector","Oxfam’s agribusiness scorecard is a benchmarking tool that measures global agribusinesses’ policies and implementation plans on five issue areas: women’s economic empowerment, land, climate change, small-scale producers, and transparency and accountability. 
The scorecard was used to measure seven selected agribusinesses and compare their awareness, action and advocacy by looking at their policies, implementation plans and public statements. This report discusses the findings, comparing results from 2018, 2020 and 2022. It examines where some of the largest and most important global agribusinesses stand. Within each issue area, the report highlights notable policy developments and current issues, and lists recommendations for these global agribusinesses, downstream companies and investors.",Oxfam,"Matt Hamilton",0,"Read the report here-https://policy-practice.oxfam.org/resources/moving-the-middle-oxfams-behind-the-brands-assessment-of-the-global-agribusines-621491/",,,Other,"Climate adaptation and mitigation|Gender equality, youth and social inclusion|Poverty reduction and livelihoods",,,Global,,"SDG 1 - No Poverty|SDG 13 - Climate Action|SDG 5 - Gender Equality|SDG 15 - Life on Land",,,"Policy brief",1,"2023-05-24 04:45:40",Vi.Nguyen,2023-03-31T12:00:00+0000,,0,0,2418,https://www.kismfoodmarkets.org/node/2418,no,
"Ten years of the Ethiopian Agricultural Transformation Agency: An FAO evaluation of the Agency's impact on agricultural growth and poverty reduction","This report brief summarizes the findings of the report ""Ten years of the Ethiopian Agricultural Transformation Agency – An FAO evaluation of the Agency’s impact on agricultural growth and poverty reduction"".
This brief shares insights from the evaluation of the Ethiopian Agricultural Transformation Agency (ATA) on the interventions that they used, such as extension services and agricultural technologies. The outcomes observed point to the effective removal of bottlenecks in the rural agricultural economy that have improved the linkages between producers, input markets and agricultural services. The improvements in those priority areas are reflected in productivity gains for certain priority crops and in market orientation positions that confirm ATA’s effectiveness in connecting producers to markets. ",FAO,FAO,0,"Read the brief here-https://www.fao.org/documents/card/en/c/cb2434en",,,Other,"Nutrition, health and food security|Poverty reduction and livelihoods|Gender equality, youth and social inclusion",,,Ethiopia,"Product or farm level","SDG 1 - No Poverty",Crops,,"Research report",1,"2023-05-24 04:28:28",Vi.Nguyen,2020-12-14T12:00:00+0000,,0,0,2417,https://www.kismfoodmarkets.org/node/2417,no,ETH
"Determinants of agricultural technology adoption in Ethiopia: A meta-analysis","One way of fostering smallholder farmers’ agricultural productivity is through encouraging agricultural technology adoptions. However, agricultural technology adoption remains very low in Ethiopia and very little is known about the common factors affecting this.
This paper shows the findings from a meta-analysis of the literature on this topic. It highlights the key factors affecting the adoption of these technologies in Ethiopia, such as the age of the household head, education level, farm size and distance from the market.","Cogent Food & Agriculture","Bekele W. Feyisa",0,"Read the paper here-https://www.tandfonline.com/doi/full/10.1080/23311932.2020.1855817",,,Other,"Poverty reduction and livelihoods",,,"Africa: Eastern Africa","Product or farm level","SDG 1 - No Poverty",,,"Journal article",1,"2023-05-24 03:57:38",Vi.Nguyen,2020-09-22T12:00:00+0000,,0,0,2416,https://www.kismfoodmarkets.org/node/2416,no,
"Solving the great food puzzle: 20 levers to scale national action","Significant transformations are needed throughout the global food system to meet climate, biodiversity and health objectives. There is substantial evidence of the global need for such food system transformations but much less attention has been paid to how transformations towards more healthy and sustainable food systems might play out at the national level. Global targets and goals are necessary to provide a roadmap for change and draw attention to the urgent need for food system transformation, but global-level analyses can mask important differences between national-level food systems and the challenges and opportunities for transformation in each country. ",WWF,WWF,0,"Read the paper here-https://www.evidensia.eco/resources/3035/solving-the-great-food-puzzle-20-levers-to-scale-national-action/",,,"Evidensia platform","Poverty reduction and livelihoods",,Other,Global,"Innovations in the enabling environment","SDG 1 - No Poverty|SDG 10 - Reduce Inequalities",,,"Research report",1,"2023-05-23 10:44:10",Carla,2022-10-01T12:00:00+0000,,0,0,2415,https://www.kismfoodmarkets.org/node/2415,no,
"Women’s economic empowerment in agriculture: What is the role of voluntary sustainability standards?","Every year on International Women’s Day global dialogues surface that talk about how to elevate conditions for women and create a world that’s diverse, equitable, and inclusive. With global crises pushing these goals further from achievement, there is now a pressing need to translate these dialogues and recommendations into action. Tools such as VSS can be leveraged as a concrete action to enhance WEE.",Evidensia,"Verma, R.",0,"Read the paper here-https://www.evidensia.eco/resources/2190/womens-economic-empowerment-in-agriculture-what-is-the-role-of-voluntary-sustainability-standards/",,,"Evidensia platform","Gender equality, youth and social inclusion",,Other,Global,"Innovations in the enabling environment","SDG 5 - Gender Equality",Crops,"Primary production: crops",,1,"2023-05-23 09:12:58",Carla,2023-03-01T12:00:00+0000,,0,0,2413,https://www.kismfoodmarkets.org/node/2413,no,
"Towards environmental sustainability: the role of certification in the adoption of climate-smart agricultural practices among Ghanaian mango farmers","The role of market interventions like certification in promoting climate action has received little attention in policy and academic circles. This study used a multivariate probit model (MVP) to analyze the factors that influence farmers’ adoption of multiple climate-smart agriculture (CSA) practices. An endogenous treatment effects (eteffects) regression was used to estimate the impact of certification on the adoption of different CSA practices. The study found that age, education, farm size, access to extension services and storage facilities influenced the adoption of different CSA practices. After accounting for endogeneity, we found that the adoption of certification reduces the likelihood that farmers will use inorganic fertilizers, herbicides and pesticides by about 50, 38 and 23 percentage points, respectively. We conclude that certification has the potential to reduce the adoption of agronomic practices that contribute to climate change.","Taylor and Francis Online","Akrong, R.|Akorsu, A.D.|Jha, P.| Agyenim, J.B.",0,"Read the paper here-https://www.evidensia.eco/resources/1353/towards-environmental-sustainability-the-role-of-certification-in-the-adoption-of-climate-smart-agricultural-practices-among-ghanaian-mango-farmers/",,,"Evidensia platform","Climate mitigation: climate-smart agriculture",,"Empirical study","Africa: Western Africa|Ghana","Product or farm level: Product certification","SDG 13 - Climate Action",Crops,"Primary production: crops","Journal article",1,"2023-05-23 07:42:45",Carla,2023-03-01T12:00:00+0000,,0,0,2412,https://www.kismfoodmarkets.org/node/2412,no,|GHA
"Price interventions as a part of living Income strategies: lessons learned from piloting a price premium mechanism for basmati rice farmers in Pakistan","This Oxfam discussion paper discusses a pilot project in Pakistan aimed at improving the income of small-scale farmers who grow basmati rice in Punjab province. The project focused on developing a mechanism for transferring a premium payment directly to farmers without affecting the cost for retailers or consumers. The intervention is reported to have successfully closed the income gap for vulnerable small-scale farmers, but it requires other complementary measures. The project shows that increasing prices is a complex issue that requires careful consideration of various factors. The paper identifies eight key factors for the success of price interventions and offers recommendations for stakeholders interested in designing and implementing similar interventions.","Oxfam GB","Mira, A.",0,"Read the paper here-https://www.evidensia.eco/resources/2987/price-interventions-as-a-part-of-living-income-strategies-lessons-learned-from-piloting-a-price-premium-mechanism-for-basmati-rice-farmers-in-pakistan/",,,"Evidensia platform","Household income","Grains: rice","Synthesis paper",Pakistan,"Product or farm level","SDG 8 - Decent Work and Economic Growth",Crops,"Primary production: crops","Research report",1,"2023-05-23 07:25:57",Carla,2023-03-03T12:00:00+0000,,0,0,2411,https://www.kismfoodmarkets.org/node/2411,no,PAK
"Ten promising pathways to GHG emission reduction in the global food system","This paper reviews ten promising pathways to greenhouse gas (GHG) emission reduction in food systems: shifting diets; improving waste management, energy use in value chains, cold-chain efficiency; reducing enteric fermentation; improving manure management, fertilizer manufacturing emissions, rice cultivation, soil organic carbon; and encouraging agroforestry.
It assesses their technical and economic mitigation potentials, the synergies and trade-offs across mitigation options and development goals, as well as the stumbling blocks for implementation, and suggests ways forward. This paper highlights the potential of mitigation options like changes in diets and reduction of food losses and waste. ",CIFOR-ICRAF,"Pingault, N.; Martius, C.",0,"Read more here-https://www.cifor.org/knowledge/publication/8836",,,Other,"Climate mitigation: GHG emissions",,,Global,,"SDG 1 - No Poverty|SDG 13 - Climate Action|SDG 2 - Zero Hunger",,,"Research report",1,"2023-05-23 03:18:21",Vi.Nguyen,2023-03-01T12:00:00+0000,,0,0,2414,https://www.kismfoodmarkets.org/node/2414,no,
"Are farmers’ climate change adaptation strategies understated? Evidence from two communities in northern Ethiopian highlands","Research and policy analyses of climate change adaptation in Africa are often centre to examine adjustments in agricultural operations. This mainly bases on a misconception that rural households merely depend on agriculture for their livelihoods. This research aimed at positioning livelihood (farm and non-farm activities) as the centre of climate adaptation strategies to better understand rural households’ adaptation strategic options and capacities, using two rural communities in the Northern highlands of Ethiopia.
The result showed that rural households have broader options both in farm and non-farm strategies for combating adverse climate condition than previously reported. 
 ",Elsevier,"Adamseged, M. E. , Kebede, S. W.",1,"Read the paper here -https://www.sciencedirect.com/science/article/pii/S2405880723000304?via%3Dihub",,,Other,"Climate adaptation and mitigation|Poverty reduction and livelihoods|Household income",,"Empirical study",Ethiopia,"Product or farm level|Innovations in the enabling environment: Infrastructure development|Innovations within the supply chain|Innovations in the enabling environment: Support and trade policies|Innovations in the enabling environment: Government extension services","SDG 13 - Climate Action",Multi-sector,"Primary production: crops","Journal article",1,"2023-05-22 08:18:03",Rita.Mendez,2023-04-14T12:00:00+0000,,0,0,2410,https://www.kismfoodmarkets.org/node/2410,no,ETH
